0.0208 	0.4064 
0.0417 	0.3846 
0.0625 	0.3765 
0.0833 	0.3696 
0.1042 	0.3634 
0.1250 	0.4095 
0.1458 	0.3921 
0.1667 	0.3840 
0.1875 	0.3796 
0.2083 	0.3802 
0.2292 	0.3809 
0.2500 	0.3790 
0.2708 	0.3815 
0.2917 	0.3840 
0.3125 	0.3846 
0.3333 	0.3846 
0.3542 	0.3827 
0.3750 	0.3827 
0.3958 	0.3834 
0.4167 	0.3834 
0.4375 	0.3771 
0.4583 	0.3771 
0.4792 	0.3728 
0.5000 	0.3684 
0.5208 	0.3684 
0.5417 	0.3622 
0.5625 	0.3603 
0.5833 	0.3584 
0.6042 	0.3584 
0.6250 	0.3559 
0.6458 	0.3565 
0.6667 	0.3572 
0.6875 	0.3590 
0.7083 	0.3590 
0.7292 	0.3622 
0.7500 	0.3690 
0.7708 	0.3690 
0.7917 	0.3696 
0.8125 	0.3696 
0.8333 	0.3646 
0.8542 	0.3671 
0.8750 	0.3671 
0.8958 	0.3653 
0.9167 	0.3634 
0.9375 	0.3659 
0.9583 	0.3609 
0.9792 	0.3565 
1.0000 	0.3540 
1.0208 	0.3472 
1.0417 	0.3472 
1.0625 	0.3434 
1.0833 	0.3366 
1.1042 	0.3385 
1.1250 	0.3385 
1.1458 	0.3366 
1.1667 	0.3366 
1.1875 	0.3341 
1.2083 	0.3366 
1.2292 	0.3410 
1.2500 	0.3434 
1.2708 	0.3459 
1.2917 	0.3459 
1.3125 	0.3484 
1.3333 	0.3503 
1.3542 	0.3547 
1.3750 	0.3572 
1.3958 	0.3534 
1.4167 	0.3553 
1.4375 	0.3553 
1.4583 	0.3553 
1.4792 	0.3528 
1.5000 	0.3484 
1.5208 	0.3466 
1.5417 	0.3441 
1.5625 	0.3441 
1.5833 	0.3416 
1.6042 	0.3366 
1.6250 	0.3372 
1.6458 	0.3372 
1.6667 	0.3347 
1.6875 	1.1141 
1.7083 	0.4744 
1.7292 	0.4382 
1.7500 	0.4276 
1.7708 	0.4214 
1.7917 	0.4176 
1.8125 	0.4133 
1.8333 	0.4114 
1.8542 	0.4095 
1.8750 	0.4027 
1.8958 	0.4002 
1.9167 	0.3983 
1.9375 	0.3958 
1.9583 	0.3890 
