60	0.663
120	0.81
180	0.941
240	1.005
300	1.07
360	1.12
420	1.17
480	1.21
540	1.24
600	1.27
660	1.3
720	1.31
780	1.32
840	1.34
900	1.35
960	1.37
1020	1.39
1080	1.41
1140	1.42
1200	1.44
1260	1.46
1320	1.465
1380	1.47
1440	1.475
1500	1.48
1560	1.49
1620	1.495
1680	1.5
1740	1.52
1800	1.53
1860	1.55
1920	1.56
1980	1.57
2040	1.58
2100	1.583
2160	1.587
2220	1.591
2280	1.593
2340	1.597
2400	1.6
2460	1.607
2520	1.61
2580	1.613
2640	1.62
2700	1.625
2760	1.633
2820	1.634
2880	1.635
2940	1.636
3000	1.637
3060	1.638
3120	1.64
3180	1.641
3240	1.65
3300	1.654
3360	1.66
3420	1.665
3480	1.67
3540	1.674
3600	1.673
3660	1.674
3720	1.675
3780	1.676
3840	1.677
3900	1.678
3960	1.68
4020	1.682
4080	1.69
4140	1.692
4200	1.693
4260	1.694
4320	1.696
4380	1.696
4440	1.697
4500	1.699
4560	1.702
4620	1.704
4680	1.706
4740	1.708
4800	1.71
4860	1.715
4920	1.72
4980	1.72
5040	1.72
5100	1.7205
5160	1.721
5220	1.7215
5280	1.722
5340	1.7225
5400	1.723
5460	1.7238
5520	1.725
5580	1.728
5640	1.73
5700	1.733
5760	1.735

